timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1703696660279,6138,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-8,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,5967,0,625
1703696660128,6307,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-5,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6150,0,768
1703696660180,6267,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-6,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6108,0,730
1703696660446,6023,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-11,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,5865,0,461
1703696660083,6480,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-4,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6310,0,839
1703696660042,6539,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-3,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6380,0,864
1703696660042,6547,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-1,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6387,0,880
1703696660406,6239,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-10,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6078,0,1150
1703696660228,6425,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-7,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6255,0,694
1703696660356,6318,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-9,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6147,0,566
1703696660550,6180,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-13,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6018,0,2005
1703696660042,6694,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-2,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6513,0,888
1703696660492,6295,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-12,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6135,0,2062
1703696660710,6098,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-16,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,5917,0,2875
1703696660601,6214,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-14,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6032,0,2977
1703696660657,6182,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-15,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,6021,0,2905
1703696660853,6031,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-19,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,5870,0,3723
1703696660759,6165,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-17,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,5995,0,2817
1703696660804,6139,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-18,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,5967,0,3772
1703696660900,6057,https://dev.nekmart.co.uk/,200,OK,Thread Group 1-20,text,true,,21832,498,20,20,https://dev.nekmart.co.uk/,5856,0,3676
